order,created_at,cancelled_at,total,customer,city
#1551,2026-06-22T15:44:32Z,2026-06-23T14:51:30Z,2789.12,CUST-0480,Islamabad
#1552,2026-06-22T16:48:40Z,,4999.0,CUST-0481,Peshawar
#1553,2026-06-22T17:02:53Z,,3650.0,CUST-0482,Lahore
#1554,2026-06-22T21:07:09Z,,3749.1,CUST-0483,Faisalabad
#1555,2026-06-23T01:36:44Z,,6138.12,CUST-0484,Rawalpindi
#1556,2026-06-23T08:15:15Z,,1650.0,CUST-0485,Narowal
#1557,2026-06-23T09:08:09Z,,3649.0,CUST-0486,Lahore
#1558,2026-06-23T09:35:16Z,,3950.0,CUST-0487,Rawalpindi
#1559,2026-06-23T14:05:11Z,,3145.0,CUST-0072,Rawalpindi
#1560,2026-06-23T14:09:54Z,,3145.0,CUST-0488,Karachi
#1561,2026-06-23T15:06:54Z,,225.0,CUST-0489,Rawalpindi
#1562,2026-06-23T15:17:29Z,,5300.0,CUST-0490,Karachi
#1563,2026-06-23T15:57:03Z,,3649.0,CUST-0491,Bahawalpur
#1564,2026-06-23T15:58:14Z,,3950.0,CUST-0492,Lahore
#1565,2026-06-23T16:43:10Z,,9261.0,CUST-0493,Karachi
#1566,2026-06-23T17:08:40Z,,9434.12,CUST-0494,Lahore
#1567,2026-06-23T17:45:38Z,,3200.0,CUST-0495,Islamabad
#1568,2026-06-23T18:16:04Z,,5985.0,CUST-0496,Islamabad
#1569,2026-06-23T18:30:17Z,,3950.0,CUST-0497,Karachi
#1570,2026-06-23T20:02:46Z,,3949.05,CUST-0406,Islamabad
#1571,2026-06-24T02:20:56Z,,2789.12,CUST-0498,Sukkur
#1572,2026-06-24T08:11:45Z,,3950.0,CUST-0499,Rawalpindi
#1573,2026-06-24T15:10:01Z,,1455.0,CUST-0472,Lahore
#1574,2026-06-24T19:06:40Z,,3749.1,CUST-0500,Islamabad
#1575,2026-06-24T22:05:27Z,,3950.0,CUST-0501,Hyderabad
#1576,2026-06-25T08:06:04Z,,3950.0,CUST-0003,Lahore
#1577,2026-06-25T09:47:16Z,,3749.1,CUST-0502,Islamabad
#1578,2026-06-25T10:41:15Z,,3145.0,CUST-0503,Islamabad
#1579,2026-06-25T17:00:32Z,,3650.0,CUST-0504,Taxila
#1580,2026-06-26T00:01:22Z,,3145.0,CUST-0355,Lahore
#1581,2026-06-26T00:53:34Z,,3649.0,CUST-0505,Lahore
#1582,2026-06-26T03:23:40Z,,5985.0,CUST-0506,Rahim Yar Khan
#1583,2026-06-26T05:41:37Z,,3650.0,CUST-0507,Lahore
#1584,2026-06-26T09:44:10Z,,3650.0,CUST-0458,Lahore
#1585,2026-06-26T19:48:19Z,,3649.0,CUST-0508,Karachi
#1586,2026-06-26T20:39:32Z,,4140.0,CUST-0509,Gujrat
#1587,2026-06-26T21:46:33Z,,3950.0,CUST-0510,Lahore
#1588,2026-06-27T00:40:46Z,,3145.0,CUST-0511,Karachi
#1589,2026-06-27T12:01:22Z,,4140.0,CUST-0512,Sialkot
#1590,2026-06-27T12:46:52Z,,3930.0,CUST-0478,Sialkot
#1591,2026-06-27T12:55:45Z,,3145.0,CUST-0513,Rawalpindi
#1592,2026-06-27T13:03:51Z,,3140.0,CUST-0496,Islamabad
#1593,2026-06-27T13:52:05Z,,1600.0,CUST-0514,Lahore
#1594,2026-06-28T07:07:49Z,,3650.0,CUST-0456,Lahore
#1595,2026-06-28T10:13:35Z,,2789.12,CUST-0515,Karachi
#1596,2026-06-28T11:50:53Z,,1600.0,CUST-0516,Sialkot
#1597,2026-06-28T12:00:17Z,,2789.12,CUST-0517,Peshawar
#1598,2026-06-28T12:18:58Z,,2789.12,CUST-0026,Karachi
#1599,2026-06-28T19:30:20Z,,1650.0,CUST-0518,Karachi
#1600,2026-06-28T19:33:21Z,,3145.0,CUST-0519,Lahore
